WKT,SA22023_V1_00,SA22023_V1_00_NAME_ASCII
"POLYGON ((1753128.8397 5915046.9774,1753132.8922 5915040.1772,1753132.8501 5915040.1465,1753131.4995 5915039.1424,1753130.1185 5915038.1906,1753128.7 5915037.295,1753127.2438 5915036.4501,1753125.7658 5915035.6332,1753124.2373 5915034.9024,1753122.7144 5915034.1455,1753122.4296 5915034.0083,1753120.8932 5915033.2498,1753119.3581 5915032.4747,1753117.8253 5915031.6737,1753116.2981 5915030.8448,1753115.2683 5915030.2616,1753114.7852 5915029.9879,1753113.2881 5915029.1011,1753111.8098 5915028.1844,1753110.9199 5915027.603,1753109.4853 5915026.6392,1753108.067 5915025.6789,1753106.6611 5915024.7368,1753105.2712 5915023.7815,1753103.8972 5915022.8019,1753102.5391 5915021.7979,1753101.1956 5915020.7752,1753099.8607 5915019.7394,1753096.2002 5915016.929,1753090.5944 5915010.1306,1753086.8572 5915005.2075,1753084.2926 5914999.8174,1753076.8231 5914988.101,1753067.7568 5914973.0014,1753067.2543 5914972.1644,1753058.6175 5914958.5712,1753052.6635 5914949.6648,1753049.3958 5914944.7443,1753048.8408 5914943.9515,1753043.3241 5914936.0713,1753036.5515 5914927.1631,1753028.1437 5914916.3791,1753020.2051 5914905.8308,1753009.4622 5914891.9999,1753004.9129 5914885.9107,1753001.7567 5914881.686,1752989.6118 5914865.9788,1752987.0435 5914862.5779,1752978.6365 5914851.4454,1752971.3931 5914842.5363,1752969.8392 5914838.4931,1752970.3149 5914829.7633,1752971.5932 5914821.3815,1752973.3355 5914810.4721,1752974.6215 5914798.6443,1752976.5352 5914787.8502,1752976.5385 5914785.9969,1752915.3599 5914804.3236,1752858.7485 5914821.2452,1752812.131 5914836.4673,1752753.5034 5914859.092,1752712.9905 5914876.2994,1752690.978 5914886.7825,1752708.135 5914960.7299,1752721.9953 5914956.1822,1752740.5368 5914951.9,1752758.1595 5914949.0567,1752775.1314 5914947.4513,1752793.8169 5914946.9675,1752811.1666 5914947.9485,1752828.404 5914950.206,1752846.4748 5914953.7025,1752863.5775 5914958.4612,1752866.4678 5914959.5005,1752882.4125 5914964.552,1752990.7128 5915026.4342,1753103.6371 5915089.2678,1753128.8397 5915046.9774))",135500,Owairaka West
"POLYGON ((1758471.9046 5920096.1957,1758519.9367 5920072.6717,1758520.2061 5920072.5398,1758539.0763 5920073.9105,1758526.3609 5920050.3801,1758455.6758 5919956.4623,1758397.5816 5920001.6724,1758404.5482 5920010.2758,1758434.771 5920047.5993,1758454.6474 5920087.3822,1758461.0658 5920100.2287,1758461.5269 5920101.2782,1758471.9046 5920096.1957))",136400,Parnell West
